Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:19.51,"urn:cite:hmt:vaimg.VA252VN-0754@0.478,0.2194,0.433,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.52,"urn:cite:hmt:vaimg.VA252VN-0754@0.478,0.2434,0.397,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:19.53,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.266,0.397,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.54,"urn:cite:hmt:vaimg.VA252VN-0754@0.48,0.284,0.397,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.55,"urn:cite:hmt:vaimg.VA252VN-0754@0.478,0.3035,0.435,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.56,"urn:cite:hmt:vaimg.VA252VN-0754@0.462,0.3238,0.404,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:19.57,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.3381,0.424,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.58,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.3606,0.421,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.59,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.3787,0.418,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.60,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.3982,0.437,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.61,"urn:cite:hmt:vaimg.VA252VN-0754@0.477,0.4177,0.437,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.62,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.435,0.406,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.63,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.4515,0.406,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.64,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.4741,0.406,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:19.65,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.4891,0.426,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.66,"urn:cite:hmt:vaimg.VA252VN-0754@0.484,0.5086,0.43,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.67,"urn:cite:hmt:vaimg.VA252VN-0754@0.48,0.5274,0.43,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:19.68,"urn:cite:hmt:vaimg.VA252VN-0754@0.491,0.547,0.408,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.69,"urn:cite:hmt:vaimg.VA252VN-0754@0.489,0.5657,0.408,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:19.70,"urn:cite:hmt:vaimg.VA252VN-0754@0.49,0.5875,0.408,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.71,"urn:cite:hmt:vaimg.VA252VN-0754@0.491,0.6056,0.408,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.72,"urn:cite:hmt:vaimg.VA252VN-0754@0.49,0.6251,0.408,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.73,"urn:cite:hmt:vaimg.VA252VN-0754@0.494,0.6424,0.378,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.74,"urn:cite:hmt:vaimg.VA252VN-0754@0.488,0.6574,0.415,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:19.75,"urn:cite:hmt:vaimg.VA252VN-0754@0.499,0.6769,0.415,0.0346"
