Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:19.51,"urn:cite:hmt:vaimg.VA252VN-0754@0.478,0.2194,0.433,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.52,"urn:cite:hmt:vaimg.VA252VN-0754@0.478,0.2434,0.397,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:19.53,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.266,0.397,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.54,"urn:cite:hmt:vaimg.VA252VN-0754@0.48,0.284,0.397,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.55,"urn:cite:hmt:vaimg.VA252VN-0754@0.478,0.3035,0.435,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.56,"urn:cite:hmt:vaimg.VA252VN-0754@0.462,0.3238,0.404,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:19.57,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.3381,0.424,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.58,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.3606,0.421,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.59,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.3787,0.418,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.60,"urn:cite:hmt:vaimg.VA252VN-0754@0.481,0.3982,0.437,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.61,"urn:cite:hmt:vaimg.VA252VN-0754@0.477,0.4177,0.437,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.62,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.435,0.406,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:19.63,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.4515,0.406,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:19.64,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.4741,0.406,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:19.65,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.4891,0.426,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:19.66,"urn:cite:hmt:vaimg.VA252VN-0754@0.484,0.5086,0.43,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:19.67,"urn:cite:hmt:vaimg.VA252VN-0754@0.48,0.5274,0.43,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:19.68,"urn:cite:hmt:vaimg.VA252VN-0754@0.491,0.547,0.408,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.69,"urn:cite:hmt:vaimg.VA252VN-0754@0.489,0.5657,0.408,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:19.70,"urn:cite:hmt:vaimg.VA252VN-0754@0.49,0.5875,0.408,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.71,"urn:cite:hmt:vaimg.VA252VN-0754@0.491,0.6056,0.408,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.72,"urn:cite:hmt:vaimg.VA252VN-0754@0.49,0.6251,0.408,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:19.73,"urn:cite:hmt:vaimg.VA252VN-0754@0.494,0.6424,0.378,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:19.74,"urn:cite:hmt:vaimg.VA252VN-0754@0.488,0.6574,0.415,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:19.75,"urn:cite:hmt:vaimg.VA252VN-0754@0.499,0.6769,0.415,0.0346"
urn:cts:greekLit:tlg5026.msA.hmt:19.office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.2326,0.1183,0.6619,0.023"
urn:cts:greekLit:tlg5026.msA.hmt:19.office5_2,"urn:cite:hmt:vaimg.VA252VN-0754@0.199,0.1059,0.72,0.0849"
urn:cts:greekLit:tlg5026.msA.hmt:19.office5_3,"urn:cite:hmt:vaimg.VA252VN-0754@0.2266,0.4532,0.2154,0.0533"
urn:cts:greekLit:tlg5026.msA.hmt:19.office5_4,"urn:cite:hmt:vaimg.VA252VN-0754@0.2303,0.505,0.2075,0.0393"
urn:cts:greekLit:tlg5026.msA.hmt:19.office5_5,"urn:cite:hmt:vaimg.VA252VN-0754@0.2375,0.5411,0.1997,0.0565"
urn:cts:greekLit:tlg5026.msA.hmt:19.office5_6,"urn:cite:hmt:vaimg.VA252VN-0754@0.236,0.5944,0.1905,0.0628"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.436,0.5379,0.055,0.0458"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office5_2,"urn:cite:hmt:vaimg.VA252VN-0754@0.427,0.592,0.067,0.0376"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office5_3,"urn:cite:hmt:vaimg.VA252VN-0754@0.427,0.6499,0.067,0.0376"
urn:cts:greekLit:tlg5026.msAim.hmt:19.office5_4,"urn:cite:hmt:vaimg.VA252VN-0754@0.428,0.6844,0.15,0.0458"
urn:cts:greekLit:tlg5026.msAint.hmt:19.office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.89,0.5409,0.041,0.0586"
urn:cts:greekLit:tlg5026.msAil.hmt:19.office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.665,0.6191,0.072,0.0195"
