Observation,TextUrn,Image,Comments
urn:cite:op:2015office5.1,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@α,"urn:cite:hmt:vaimg.VA252VN-0754@0.485,0.2359,0.014,0.0128",
urn:cite:op:2015office5.2,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ὐ,"urn:cite:hmt:vaimg.VA252VN-0754@0.4902,0.2297,0.0188,0.0158",
urn:cite:op:2015office5.3,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@τ,"urn:cite:hmt:vaimg.VA252VN-0754@0.5061,0.2366,0.014,0.0108",
urn:cite:op:2015office5.4,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ὰ[2],"urn:cite:hmt:vaimg.VA252VN-0754@0.5161,0.2292,0.0199,0.0147",
urn:cite:op:2015office5.5,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ρ,"urn:cite:hmt:vaimg.VA252VN-0754@0.5279,0.2347,0.0103,0.0158",
urn:cite:op:2015office5.6,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ὃ,"urn:cite:hmt:vaimg.VA252VN-0754@0.5415,0.2258,0.0144,0.018",
urn:cite:op:2015office5.7,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@δ,"urn:cite:hmt:vaimg.VA252VN-0754@0.5537,0.2294,0.0118,0.015",
urn:cite:op:2015office5.8,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@εύ,"urn:cite:hmt:vaimg.VA252VN-0754@0.5621,0.2242,0.0306,0.0197",εύ is a ligature.
urn:cite:op:2015office5.9,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@τ[2],"urn:cite:hmt:vaimg.VA252VN-0754@0.5817,0.2305,0.0122,0.015",
urn:cite:op:2015office5.10,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@α[3],"urn:cite:hmt:vaimg.VA252VN-0754@0.5909,0.2339,0.0166,0.01",
urn:cite:op:2015office5.11,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@τ[3],"urn:cite:hmt:vaimg.VA252VN-0754@0.6027,0.2341,0.0107,0.0102",
urn:cite:op:2015office5.12,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ο[2],"urn:cite:hmt:vaimg.VA252VN-0754@0.6111,0.2344,0.0081,0.0078",
urn:cite:op:2015office5.13,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@σ,"urn:cite:hmt:vaimg.VA252VN-0754@0.6189,0.2333,0.0151,0.0086",
urn:cite:op:2015office5.14,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ἦ,"urn:cite:hmt:vaimg.VA252VN-0754@0.6347,0.2239,0.014,0.0233",
urn:cite:op:2015office5.15,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@λ,"urn:cite:hmt:vaimg.VA252VN-0754@0.6487,0.2308,0.0151,0.0152",
urn:cite:op:2015office5.16,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@θ,"urn:cite:hmt:vaimg.VA252VN-0754@0.6602,0.2313,0.0195,0.0125",
urn:cite:op:2015office5.17,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ε,"urn:cite:hmt:vaimg.VA252VN-0754@0.673,0.2319,0.0144,0.0111",
urn:cite:op:2015office5.18,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ν,"urn:cite:hmt:vaimg.VA252VN-0754@0.6841,0.2311,0.0133,0.0147",
urn:cite:op:2015office5.19,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ἄ[4],"urn:cite:hmt:vaimg.VA252VN-0754@0.6977,0.2239,0.0254,0.0183",
urn:cite:op:2015office5.20,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ν[2],"urn:cite:hmt:vaimg.VA252VN-0754@0.7073,0.2322,0.0158,0.0141",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@α[5],"urn:cite:hmt:vaimg.VA252VN-0754@0.7224,0.2328,0.0114,0.0097",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ξ,"urn:cite:hmt:vaimg.VA252VN-0754@0.7342,0.2333,0.0162,0.0194",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ἀ[6],"urn:cite:hmt:vaimg.VA252VN-0754@0.7479,0.2267,0.0129,0.0166",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ν[3],"urn:cite:hmt:vaimg.VA252VN-0754@0.7582,0.2308,0.0129,0.0155",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@δ[2],"urn:cite:hmt:vaimg.VA252VN-0754@0.77,0.2258,0.0118,0.0161",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ρ[2],"urn:cite:hmt:vaimg.VA252VN-0754@0.7773,0.2333,0.0129,0.0116",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ῶ,"urn:cite:hmt:vaimg.VA252VN-0754@0.7884,0.2267,0.0162,0.0161",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@ν[4],"urn:cite:hmt:vaimg.VA252VN-0754@0.802,0.2311,0.0162,0.013",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@,"",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@,"",
urn:cite:op:2015office5.21,urn:cts:greekLit:tlg0012.tlg001.msA:19.51@,"",
